abbreviated form=縮短的版本
be emblematic of love=象徵愛的
emergent markets=新興的市場
eminent historian=卓越的歷史學家
empathetic doctor=富有同情心的醫生
empirical research=實證的研究
much-emulated paragon=備受仿效的楷模
encyclopedic professor=知識廣博的教授
endowed talent=與生俱來的才能
enervated patient=虛弱無力的病患
enfettered life=束縛的人生
enigmatic message=神秘難懂的訊息
enlightened policy=開明的政策
enthralling smile=迷人的笑容
enticing offer=誘人的條件
entranced children=著迷入神的孩子
entrenched view=根深蒂固的看法
enunciated proposal=清楚說明的提案
enviable conditions=令人羨慕的條件
ephemeral fame=短暫的名聲
epic struggle=漫長艱苦的奮鬥
equable temperament=溫和的性情
equitable distribution=公平的分配
equivocal statement=含糊的說法
erratic behavior=古怪的行為
erstwhile allies=往昔的盟友
erudite scholar=博學多聞的學者
eschewed topic=避開的話題
esoteric domain=內行人才懂得領域
be estranged from family=和家人疏離的
euphemistic description=委婉的描述
evanescent impression=逐漸消逝的印象
evasive reply=迴避重點、含糊其詞的回覆
evenhanded treatment=公平的處理
evocative song=勾起回憶的歌曲
exacerbated situation=惡化的情況
exacting standards=苛刻的標準
much-exalted empire=備受吹捧讚揚的帝國
exhaustive account=詳盡的解釋
exhilarated crowd=振奮的群眾
exigent problem=緊急的問題
exiguous salary=微薄的薪水
be exonerated responsibility=免責的
exotic food=異國的食物
expedient measure=應急的措施
explicable phenomenon=可解釋的現象
explicit statement=明確的發言
exquisite taste=高雅的品味
extant evidence=現有的證據
much-extolled benefit=備受讚揚的益處
extraneous details=無關的細節
extravagant lifestyle=奢侈的生活方式
extrinsic factor=外部的要素
exuberant celebration=熱鬧有活力的慶典
facetious remark=(不合時宜)玩笑般的發言
factious department=派系鬥爭嚴重的部門
faddish diet=趕時髦的飲食方式
fallacious reasoning=謬誤的推論
falsified certificate=偽造的證書
falter in one's belief=信心動搖
fanatical baseball fan=狂熱的棒球迷
fanciful idea=異想天開的想法
fastidious attitude=過分講究的態度
fatiguing task=疲勞的差事
fatuous thought=愚蠢的想法
faultless performance=完美的演出
feckless supervisor=窩囊的上司
fecund imagination=豐富的想像力
feeble opposition=微弱的反對
ferocious battle=激烈的交戰
fervent supporter=熱情的擁護者
festive mood=歡樂的氛圍
fickle winds=變幻不定的風向
fiery debate=激烈的辯論
fiery speech=慷慨激昂的演講
figurative expression=比喻的表達方式
finicky eater=挑食者，吃東西過分挑剔的人
fitful progress=斷斷續續的進步
flagging economy=疲軟的經濟
flamboyant language=浮誇的語言
fleeting visit=短暫的拜訪
flippant attitude=輕率無禮的態度
florid prose=詞藻華麗的散文
flouted tradition=被蔑視的傳統
fluctuating prices=浮動的價格
fluid circumstances=不穩定的情勢
foolhardy decision=魯莽的決定
forbearing nature=寬容的性格
forfeited right=喪失的權利
formidable rival=令人生畏的對手
forthright manner=率直的態度
fortuitous opportunity=偶然的機會
fractious child=易怒的孩子
fragmentary understanding=零碎片段的理解
frail body=弱小的身軀
frantic parents=慌亂的父母
fraudulent activity=詐欺的事件
be fraught with difficulties=充斥困難的
frivolous decision=輕率的決定
frugal backpacker=節儉的背包客
fugitive feeling=短暫的感覺
fulsome praise=過分的恭維
fungible assets=易於交易的資產
furtive action=偷偷摸摸的行為
fusty professor=古板的教授
futile attempt=白費的努力
galling matter=令人煩惱的事情
garrulous adviser=喋喋不休的顧問
gawky player=笨拙的球員
generic term=統稱，廣義的名稱
genial manner=和藹的態度
germane details=密切相關的細節
grandiose building=宏偉的建築
grandiose plans=不切實際的計畫
gratifying experience=令人滿足的經驗
gregarious disposition=好社交的性情
gripping plots=吸引人的情節
groundbreaking invention=突破性的發明
grudging respect=不情願的尊敬
gullible teenager=易上當的青少年
hackneyed expression=老生常談的說法
half-hearted effort=敷衍的嘗試
hallucinatory drug=讓人產生幻覺的藥
haphazard way=雜亂無章的方法
hard-headed scientist=實事求是的科學家
haughty politician=自大傲慢的政客
hectic schedule=極為忙碌的時程
heretical belief=異端的信念
hermetic lifestyle=與世隔絕的生活型態
hidebound policy=迂腐的政策
hierarchical organization=階級分明的組織
histrionic representations=戲劇性的表現
homogeneous group=同質性的團體
honorific language=尊敬的用語
hortatory note=激勵的語調
humdrum lecture=乏味的講課
hyperbolic expression=誇飾的表達
iconoclastic views=反傳統的觀點
idiosyncratic approach=不尋常的手法
ignominious defeat=聲譽掃地的挫敗
illegitimate son=私生子，私生的孩子
illicit drugs=非法的藥物
illustrious career=傑出的職涯
imminent danger=迫在眉睫的危險
immutable rule=不可更改的規則
impartial judgment=公正的判斷
impassioned speech=慷慨激昂的演說
impassive face=不帶情緒的表情
impeccable performance=無懈可擊的表現
impecunious artist=一貧如洗的藝術家
impending change=即將發生的改變
impenetrable jargon=難以理解的行話
imperative order=強制的命令
imperceptible difference=難以察覺的差異
imperious leader=專制跋扈的領導者
impertinent matters=無關的事物
impertinent question=不禮貌的問題
imperturbable demeanor=泰然自若的神態
be impervious to criticism=不受批評影響的
implacable hostility=無法化解的敵意
implacable opposition=堅決的反對
impolitic remark=不當的發言
imposing building=宏偉的建築
impotent policy=無效的政策
impromptu speech=即席的演講
imprudent decision=輕率的決定
incongruous symbol=不適宜的象徵標誌
inconsistent performance=時好時壞的表現
incontrovertible evidence=無可辯駁的證據
incorrigible liar=無可救藥的說謊者
incremental change=小幅度遞增的改變
indecisive leader=優柔寡斷的領導者
indecorous parents=無禮的父母
indefatigable advocate=死忠的擁護者
indifferent attitude=冷漠的態度
indigenous culture=本土的文化
indigent dweller=窮困的居民
indispensable support=不可或缺的支持
indolent politician=懶惰的政客
indomitable fighter=不服輸的鬥士
indubitable fact=不容質疑的事實
indulgent parents=溺愛的父母
industrious student=勤勞的學生
inept comment=拙劣的評論
inept handling of...=對...不當的處理
inert narrative=無趣的故事
inert government=無作為的政府
inestimable value=難以估計的(極大)價值
inevitable consequence=無可避免的結果
inexorable progression=無法遏止的發展
inexplicable theory=難以理解的理論
infelicitous remark=不適當的言論
infinite patience=極大的耐心
inflammatory language=煽動性的語言
inflated ego=過度膨脹的自尊
infuriated crowd=被激怒的群眾
ingenious method=巧妙的方法
ingenuous foreigner=天真的外國人
deeply ingrained misconception=根深蒂固的錯誤觀念
inimical regulations=不利的法規
iniquitous system=不公平的制度
innocent people=無辜的人們
innocent remark=無攻擊性、針對性的發言
inquisitive mind=好探人隱私的心態
insatiable thirst for knowledge=對知識永不滿足的渴求
inscrutable expression=難以理解的表情
insipid paper=枯燥乏味的論文
insolent gesture=傲慢無禮的手勢
insouciant attitude=漠不關心的態度
institutionalized patient=缺乏自理能力的病患
insular circle=狹窄的交友圈
intangible assets=無形的資產
integral part=核心的部分
intelligible needs=清楚的需求
interim CEO=臨時的(過渡期的)執行長
intermediary role=居中調解的角色
interminable speech=冗長的演講
intermittent effort=斷斷續續的努力
intimate relationship=親近的關係
intimidating professor=讓人害怕的教授
intractable enemy=難以對付的敵人
intractable problem=棘手的問題
intransigent position=不妥協的立場
intrepid explorer=大膽的探險者
intricate interplay=複雜的互動關係
intrinsic factors=內部的要素
intrinsic value=固有的價值
introspective leader=好自省的領導者
intrusive lighting=擾人的燈光
intrusive question=冒犯人的問題
intuitive judgment=直覺的判斷
invalidated theory=推翻的理論
invasive species=入侵的物種
inverse relationship=逆關係，負相關的關係
inveterate habit=根深蒂固的習慣
in an invidious position=身在會得罪人的處境
invigorated child=充滿活力的孩子
inviting smile=迷人的微笑
ironic comment=挖苦的評論
irreconcilable differences=無法化解的分歧
irrefutable argument=無可辯駁的論證
irresolute reply=猶豫不決的回答
irrevocable decision=無法改變的決定
itinerant entertainer=巡迴表演的藝人
jaded musician=了無新意的音樂家
jarring experience=痛苦的經歷
jejune class=無趣的課程
jettisoned old computer=淘汰的舊電腦
jocular comment=詼諧的評論
jocund character=歡樂的性格
jubilant winner=喜悅的贏家
judicious action=明智的行為
well-justified decision=相當合理的決定
keen table tennis player=對打桌球熱衷的人
kinetic energy=動能
knotty problem=棘手的問題
laborious process=費力的過程
labyrinthine plot=錯綜複雜的情節
lachrymose songs=感傷的歌曲
lackadaisical approach=懶散、不積極的方式
lackadaisical service=不夠殷勤的服務
lackluster performance=毫無活力的表演
laconic manager=談吐簡潔的經理
languid manner=懶洋洋的舉止
languishing economy=疲軟的經濟
latent talent=潛在的才能
laudatory review=讚賞的評論
lavish consumption=揮霍的消費
lax control=寬鬆的控管
legitimate means=合法的手段
lenient law=不嚴格的法規
lethal effect=致命的影響
lethargic patient=虛弱的病人
limber mind=靈活的腦袋
limpid writing style=清晰的寫作風格
much-lionized professor=備受尊崇的教授
lithe body=柔軟的身體
be loath to admit mistake=不願承認錯誤的
lofty ideals=崇高的理想
long-winded explanation=冗長的解釋
lopsided vote=一面倒的投票結果
loquacious host=滔滔不絕的主持人
lucid account=清楚的解釋
lucrative business=可賺錢的生意
ludicrous idea=荒唐愚蠢的想法
lugubrious song=悲傷的歌曲
luminous explanation=清楚的解釋
luminous performance=出色的表現
lurid details=毛骨悚然的細節
lurid story=驚悚的故事
luxuriant writing style=華麗的寫作風格
luxuriant forest=茂密的森林
lyrical description=情感豐富的描述
macabre scene=恐怖的景象
magnanimous donation=慷慨的捐款
makeshift camps=臨時的帳篷
maladroit handling of...=對...笨拙的處理方式
malevolent villains=惡毒的反派分子
malicious approach=惡毒的手段
malignant tumor=惡性的腫瘤
malleable traits=可塑的特質
manic children=躁動不安的孩子
manifest disappointment=顯而易見的失望
manifold function=各式各樣的功能
marginal factors=不重要的因素
marginal improvement=非常微小的進步
marked difference=明顯的差異
masterful manner=專橫的態度
mawkish film=濫情的電影
meager salary=微薄的薪水
measured response=審慎的回應
meddlesome neighbor=愛管閒事的鄰居
mediocre school=中等的學校
melancholic song=悲傷的歌曲
mellifluous voice=悅耳的聲音
melodious sound=優美的聲音
melodramatic speech=情緒誇張的演說
mendacious story=捏造的故事
menial task=不需特殊技能的粗活
mercenary scheme=斂財的計畫
mercurial temperament=多變的性格
meretricious report=華而不實的報導
metaphorical expression=隱喻的表達方式
methodical search=井然有序的搜查
meticulous explanation=仔細嚴謹的說明
militant extremists=好鬥的極端分子
military disease=威脅性的疾病
minuscule amounts=微小的數量
minute details=瑣碎的細節
misanthropic outlook=厭世的觀點
mitigated pains=減輕的疼痛
mixed review=毀譽參半的評論
a modicum of luck=一點點的好運
modish restaurant=時髦的餐廳
momentary increase=短暫的增加
momentous event=重大的事件
monolithic construct=單一少有變化的概念
monolithic group=龐大專權的組織
monotonous music=單調的音樂
moralistic talk=說教的談話
morbid obesity=病態性的肥胖
mordant remark=尖酸的言論
moribund career=停滯的事業
morose expression=悶悶不樂的表情
a motley collection of things=各式各樣的東西
muddling situation=混亂的狀態
multifaceted approach=多元的手段
multifarious factors=各式各樣的要素
mundane concerns=世俗的關心
mundane life=平凡無趣的生活
munificent donor=慷慨的捐助者
murky explanation=模糊的解釋
mutable policies=搖擺不定的政策
mutinous student=造反的學生
myopic policymaker=目光短淺的政策制定者
a myriad of choices=無數的選擇
nascent industry=新興的產業
nascent problem=剛出現的問題
one's natal city=某人出生的城市
nebulous concept=模糊不清的概念
nefarious practice=不法的勾當
negligent judge=失職的法官
negligible effect=微不足道的影響
neutral language=中立的語言
niggardly donation=小氣的捐贈
niggling pain=擾人的疼痛
nimble investor=精明的投資者
nocturnal construction=夜間的施工
noisome habits=令人厭惡的習慣
nomadic people=遊牧民族，居無定所的人
nominal involvement=有名無實的參與
nonchalant attitude=漠不關心的態度
nondescript performance=單調無趣的演出
nonplussed crowd=不知所措的民眾
normative judgment=符合規範的評斷
nostalgic story=懷舊的故事
notorious banker=惡名昭彰的銀行家
novel invention=新穎的發明
noxious chemical=有毒的化學物質
noxious influence=不良的影響
nuanced difference=微小的差異
nugatory amount=微不足道的數量
nugatory contribution=無價值的貢獻
nullified law=被廢除的法規
numinous energy=超自然的力量
obdurate refusal=堅決的反對
obdurate stance=堅定的立場
obedient child=順從的孩子
objectionable scene=令人厭惡的景象
objectionable smell=難聞的味道
objective evaluation=客觀的評斷
obligatory examination=強制性的檢查
oblique references=拐彎抹角的提及
be oblivious of a promise=忘記承諾的
be oblivious to danger=沒察覺到危險的
obnoxious colleague=讓人厭惡的同事
obscure answer=模糊不清的答案
obscure island=鮮為人知的小島
obsequious employee=阿諛奉承的員工
observant reporter=觀察力敏銳的記者
obsessive interest=癡迷的興趣
obsolescent hardware=過時的硬體
obstinate opponent=頑固的反對者
obstreperous behavior=不受控的行為
obtrusive colors=刺眼的顏色
obtrusive TV commercial=擾人的電視廣告
obtuse angle=鈍角
obtuse pain=隱隱的疼痛
obviated need=被排除、不需要的需求
occult power=神秘的力量
odious crime=可憎的罪行
offensive language=冒犯人的言語
officious boss=愛指使人的老闆
olfactory sense=嗅覺
ominous sign=不吉利的跡象
ominous silence=不祥的沉默
ominous sound=不尋常的聲音
omitted area=被忽略的地區
omnipotent ruler=有無限權力的統治者
omnipresent problem=隨處可見的問題
omniscient author=無所不知的作者
omnivorous reader=什麼都讀的讀者
omnivorous animal=雜食性的動物
onerous duty=繁重的責任
opaque container=不透明的容器
opaque prose=晦澀的散文
opportune moment=適當的時機
opportunistic act=投機的行為
opprobrious language=辱罵人的言語
opulent hotel=華麗的旅館
opulent landowner=富裕的地主
orotund tone=高亢的語調
orthodox treatment=傳統的療法
ostensible goal=佯稱的目標
ostentatious lifestyle=鋪張的生活方式
outlandish outfit=奇異的服裝
outmoded customs=過時的傳統
overbearing politician=蠻橫的政客
overshadowed performance=相形見絀的表現
overstated case=被誇大的事件
overt criticism=公然的批評
overt hostility=明顯的敵意
overweening ambition=自負的野心
overwhelming victory=壓倒性的勝利
overwrought parents=過度緊張的父母
painstaking research=煞費苦心的調查
palatable change=可接受的改變
palatable meal=美味的餐點
palliative drug=紓緩症狀的藥
palpable change=明顯的改變
paltry donation=吝嗇的捐助
paltry trick=可鄙的伎倆
paradoxical fact=矛盾的事實
paramount importance=至高的重要性
parochial view=狹隘的觀點
parsimonious boss=吝嗇的老闆
be parsimonious with the truth=不願道出真相的
partisan disputes=黨派的紛爭
pastoral scene=鄉村的景緻
patriarchal society=父系的社會
a paucity of information=缺乏資訊
pecuniary benefit=金錢的利益
pedantic question=過度學究的問題
pedestrian phrase=平凡乏味的用語
peevish teacher=易怒的老師
pejorative term=貶義詞，貶抑的詞彙
pellucid explanation=清晰的解釋
penitent look=懊悔的神情
pensive book=讓人反省的書
perceptive writer=富有洞察力的作者
perennial problem=長年的問題
perfunctory attitude=敷衍的態度
perilous attempt=冒險的嘗試
peripatetic traveler=四處遊歷的旅行者
peripheral issue=不重要的議題
pernicious influence=有害的影響
perplexing situation=令人困惑的情勢
perspicuous instruction=清楚明確的指示
pervasive influence=廣泛的影響
petulant child=脾氣暴躁的孩子
philistine attitude=庸俗的態度
phlegmatic response=冷靜的回應
physiological reaction=生理的反應
pivotal role=關鍵的角色
placid lifestyle=寧靜的生活方式
plaintive sigh=哀傷的嘆氣
plastic material=具可塑性的材質
plausible pretext=貌似有理的托辭
a plethora of regulations=大量的法規
plummeting price=暴跌的價錢
poignant image=強烈深刻的刻板印象、形象
poignant remark=尖銳的批評
polemical essay=強烈反駁的文章
pompous manager=自負的經理
pompous phrases=浮誇的用語
ponderous writing style=冗長乏味的寫作風格
pragmatic CEO=重實效的執行長
precarious state=不穩定的狀況
precipitate decision=匆促的決定
precocious child=早熟的孩子
predominant view=主流的觀點
preeminent scholar=出眾的學者
premonitory sign=預兆，預告的跡象
prescient remark=預知的言論
pressing need=迫切的需求
presumptuous habit=冒昧無禮習慣
pretentious language=矯揉造作的言語
prevalent disease=普遍的疾病
prickly situation=棘手的情勢
primeval forest=原始的森林
in pristine condition=處於完好的狀態
pristine forest=原始的森林
probing question=追根究柢的問題
problematic argument=有問題的論點
problematic future=不確定的未來
prodigal lady=揮霍的女子
prodigal use of...=對...浪費的使用
profligate life=揮霍無度的人生
profound effect=深遠的影響
profuse apologies=大量的道歉
profuse harvest=豐收，大量的收成
prohibitive costs=高昂的成本
prolix writing style=冗贅的寫作風格
prophetic indicator=預言性的指標
prophylactic measure=預防的措施
propitious conditions=有利的情勢和條件
proprietary software=有專利的軟體
proprietary right=專有的權利
prosaic life=無趣平凡的人生
protean actor=可演出多種角色的演員
protean talent=才能多元的人才
providential timing=大好的時機[天時地利人和]
provincial accent=鄉下的口音
provincial artist=缺乏視野的藝術家
provisional approval=暫時的准許
provisional government=臨時的政府
provocative book=具有啟發性的書
prudent investor=謹慎的投資人
punctilious attitude=一絲不苟的態度
quaint idea=怪異有趣的想法
quarrelsome student=愛爭吵的學生
querulous customer=愛抱怨的顧客
quiescent state=平靜的狀態
quintessential culture=最典型的文化
quirky sense of humor=古怪的幽默感
quixotic policymaker=不切實際的政策制定者
quotidian routine=每天的例行公事
rambling talk=沒有重點的閒談
rancorous dispute=憤怒的爭吵
rapacious landlord=貪婪的房東
rarefied subjects=只有少數人懂的主題
raucous atmosphere=喧鬧的氛圍
rebellious troop=反叛的軍隊
recalcitrant student=不服管教的學生
reciprocal relationship=互惠的關係
reckless driving=危險的駕駛
recondite words=深奧的詞語
recurrent event=一再發生的事件
redoubtable spirit=令人敬畏的精神
redundant information=多餘的資訊
refractory teenager=難以管教的青少年
relentless determination=堅定的決心
relentless financial problem=層出不窮的財務問題
reprehensible behavior=應受譴責的行為
repressive measure=高壓的措施
repugnant concept=令人厭惡的概念
resilient entrepreneur=有韌性的企業家
resilient firm=有韌性的公司
restive populations=暴躁不安的人民
retentive memory=過目不忘的記性
reticent temperament=沉默寡言的性格
retrospective legislation=有追溯效力的法規
revolutionary breakthrough=革命性的突破
risible suggestion=可笑的建議
riveting performance=引人入勝的表演
robust economy=強勁的經濟
rudimentary analysis=初步的分析
rueful smile=悔恨的苦笑
ruthless dictator=無情的獨裁者
sacrosanct clients=不可冒犯的客戶
salient differences=顯著的差異
salutary experience=有益的經驗
salutary impact=有利的影響
sanctimonious politician=偽善的政客
sanguine view=樂觀的看法
sardonic film=嘲諷的電影
scanty evidence=不足的證據
scathing remark=苛薄的言論
schematic diagram=示意圖，概要的圖表
scholarly language=學術的用語
scornful look=輕蔑的表情
secular world=世俗的世界
sedentary lifestyle=久坐的生活型態
seductive power=吸引力，誘惑的力量
self-effacing leader=謙遜的領導者
self-evident truths=不言自明的真相
self righteous specialists=自以為是的專家
sententious expression=簡潔有力的表達
serpentine plot=曲折的情節
shoddy goods=劣質的商品
shrewd businessman=精明的商人
shrewd decisions=英明的決定
simplistic argument=過度簡化的論點
simultaneous interpretation=同步的翻譯
singular achievement=非凡的成就
sketchy description=粗略的描述
skittish behavior=輕佻的行為
skittish investor=易受驚嚇的投資者
slapdash work=草率的工作
sluggish economy=蕭條的經濟
sluggish recovery=(經濟)緩慢的恢復
sober reminder=嚴正的提醒
sonorous voice=宏亮的嗓音
sordid business=骯髒卑鄙的交易
sound advice=有利的建議
sound judgment=良好的判斷力
specious argument=似是而非的論點
spiteful remark=苛薄的言論
spontaneous reaction=本能的反應
sporadic incident=偶發的事件
spurious argument=欺騙的論述
spurious charge=錯誤的指控
staggering statistics=驚人的數據
stagnant economy=停滯的經濟
stale phrase=了無新意的用語
stalwart supporter=忠實的支持者
startling discovery=驚人的發現
static prices=不變動的價格
sterling quality=優異的特質
stilted performance=生硬的演出
stymied growth=受阻的成長
subdued look=悶悶不樂的臉色
subservient role=恭順的角色
substantial change=大幅的改變
subtle difference=細微的差異
subversive idea=顛覆性的想法
sullen mood=悶悶不樂的心情
sumptuous feast=奢華的盛宴
supercilious attitude=傲慢的態度
